alert_id,transaction_id,account_id,alert_type,alert_severity,alert_status,alert_timestamp,alert_reason
ALERT000017,TXN0000135,ACCT000066,structuring_indicator,medium,in_review,2025-12-09T20:24:00,Synthetic alert generated for round number payments.
ALERT000018,TXN0000138,ACCT000487,jurisdiction_risk,high,in_review,2025-10-03T13:19:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000019,TXN0000141,ACCT000382,account_takeover,high,escalated,2025-01-04T17:32:00,Synthetic alert generated for account takeover style behaviour.
ALERT000020,TXN0000145,ACCT000442,velocity_rule,medium,in_review,2025-11-15T07:54:00,Synthetic alert generated for high transaction velocity.
ALERT000021,TXN0000152,ACCT000395,rapid_movement,medium,in_review,2025-05-23T11:06:00,Synthetic alert generated for rapid movement of funds.
ALERT000022,TXN0000154,ACCT000163,structuring_indicator,high,escalated,2025-01-08T18:02:00,Synthetic alert generated for round number payments.
ALERT000023,TXN0000155,ACCT000537,jurisdiction_risk,high,open,2025-07-17T21:44:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000024,TXN0000156,ACCT000348,rapid_movement,medium,in_review,2025-07-18T01:34:00,Synthetic alert generated for rapid movement of funds.
ALERT000025,TXN0000159,ACCT000085,velocity_rule,high,in_review,2025-12-10T14:08:00,Synthetic alert generated for high transaction velocity.
ALERT000026,TXN0000169,ACCT000262,structuring_indicator,medium,closed_false_positive,2025-12-04T02:29:00,Synthetic alert generated for round number payments.
ALERT000027,TXN0000173,ACCT000052,structuring_indicator,high,closed_false_positive,2025-06-28T00:22:00,Synthetic alert generated for round number payments.
ALERT000028,TXN0000177,ACCT000100,rapid_movement,medium,in_review,2025-07-25T20:27:00,Synthetic alert generated for rapid movement of funds.
ALERT000029,TXN0000187,ACCT000057,amount_spike,medium,open,2025-10-15T10:17:00,Synthetic alert generated for unusual amount spike.
ALERT000030,TXN0000192,ACCT000674,new_beneficiary,medium,closed_false_positive,2025-09-16T21:07:00,Synthetic alert generated for new beneficiary risk.
ALERT000031,TXN0000194,ACCT000210,jurisdiction_risk,high,closed_false_positive,2025-04-20T16:21:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000032,TXN0000199,ACCT000664,jurisdiction_risk,high,open,2025-11-07T06:03:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000033,TXN0000210,ACCT000172,mule_activity,medium,open,2025-05-04T10:54:00,Synthetic alert generated for mule account style behaviour.
ALERT000034,TXN0000213,ACCT000518,account_takeover,high,open,2025-06-11T17:49:00,Synthetic alert generated for account takeover style behaviour.
ALERT000035,TXN0000218,ACCT000567,mule_activity,high,open,2025-06-24T07:39:00,Synthetic alert generated for mule account style behaviour.
ALERT000036,TXN0000223,ACCT000282,rapid_movement,medium,open,2025-05-02T04:01:00,Synthetic alert generated for rapid movement of funds.
ALERT000037,TXN0000231,ACCT000084,mule_activity,medium,closed_false_positive,2025-10-28T06:35:00,Synthetic alert generated for mule account style behaviour.
ALERT000038,TXN0000232,ACCT000676,jurisdiction_risk,high,open,2025-11-26T23:26:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000039,TXN0000234,ACCT000299,amount_spike,high,closed_false_positive,2025-05-19T01:37:00,Synthetic alert generated for unusual amount spike.
ALERT000040,TXN0000255,ACCT000437,structuring_indicator,high,open,2025-11-20T09:50:00,Synthetic alert generated for round number payments.
ALERT000041,TXN0000256,ACCT000644,velocity_rule,high,closed_false_positive,2025-11-27T12:42:00,Synthetic alert generated for high transaction velocity.
ALERT000042,TXN0000279,ACCT000116,jurisdiction_risk,high,open,2025-07-26T21:33:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000043,TXN0000284,ACCT000651,account_takeover,high,open,2025-08-15T15:17:00,Synthetic alert generated for account takeover style behaviour.
ALERT000044,TXN0000301,ACCT000027,rapid_movement,medium,open,2025-03-28T18:16:00,Synthetic alert generated for rapid movement of funds.
ALERT000045,TXN0000309,ACCT000002,mule_activity,high,in_review,2025-07-16T21:19:00,Synthetic alert generated for mule account style behaviour.
ALERT000046,TXN0000310,ACCT000647,rapid_movement,high,in_review,2025-10-09T04:14:00,Synthetic alert generated for rapid movement of funds.
ALERT000047,TXN0000314,ACCT000664,new_beneficiary,medium,in_review,2025-11-14T15:34:00,Synthetic alert generated for new beneficiary risk.
ALERT000048,TXN0000335,ACCT000397,new_beneficiary,medium,in_review,2025-01-15T16:28:00,Synthetic alert generated for new beneficiary risk.
ALERT000049,TXN0000340,ACCT000284,account_takeover,high,in_review,2025-01-14T15:58:00,Synthetic alert generated for account takeover style behaviour.
ALERT000050,TXN0000348,ACCT000281,new_beneficiary,medium,escalated,2025-06-12T23:41:00,Synthetic alert generated for new beneficiary risk.
ALERT000051,TXN0000353,ACCT000495,velocity_rule,medium,open,2025-10-24T01:15:00,Synthetic alert generated for high transaction velocity.
ALERT000052,TXN0000355,ACCT000660,new_beneficiary,high,open,2025-09-23T05:50:00,Synthetic alert generated for new beneficiary risk.
ALERT000053,TXN0000357,ACCT000311,velocity_rule,medium,in_review,2025-08-29T10:13:00,Synthetic alert generated for high transaction velocity.
ALERT000054,TXN0000368,ACCT000098,amount_spike,medium,closed_false_positive,2025-01-25T03:36:00,Synthetic alert generated for unusual amount spike.
ALERT000055,TXN0000371,ACCT000627,shared_device,medium,escalated,2025-05-27T09:52:00,Synthetic alert generated for shared device behaviour.
ALERT000056,TXN0000375,ACCT000307,mule_activity,medium,closed_false_positive,2025-09-30T06:22:00,Synthetic alert generated for mule account style behaviour.
ALERT000057,TXN0000381,ACCT000383,rapid_movement,medium,open,2025-01-19T07:11:00,Synthetic alert generated for rapid movement of funds.
ALERT000058,TXN0000385,ACCT000420,jurisdiction_risk,high,closed_false_positive,2025-08-11T00:55:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000059,TXN0000403,ACCT000402,shared_device,high,open,2025-09-11T15:03:00,Synthetic alert generated for shared device behaviour.
ALERT000060,TXN0000409,ACCT000559,new_beneficiary,high,open,2025-12-08T12:32:00,Synthetic alert generated for new beneficiary risk.
ALERT000061,TXN0000416,ACCT000454,new_beneficiary,medium,open,2025-06-23T05:49:00,Synthetic alert generated for new beneficiary risk.
ALERT000062,TXN0000421,ACCT000430,rapid_movement,medium,escalated,2025-02-22T07:13:00,Synthetic alert generated for rapid movement of funds.
ALERT000063,TXN0000423,ACCT000402,velocity_rule,high,closed_false_positive,2025-11-25T03:23:00,Synthetic alert generated for high transaction velocity.
ALERT000064,TXN0000424,ACCT000598,structuring_indicator,medium,open,2025-04-25T05:59:00,Synthetic alert generated for round number payments.
ALERT000065,TXN0000431,ACCT000165,new_beneficiary,medium,open,2025-03-02T19:08:00,Synthetic alert generated for new beneficiary risk.
ALERT000066,TXN0000433,ACCT000477,new_beneficiary,medium,escalated,2025-03-26T14:37:00,Synthetic alert generated for new beneficiary risk.
ALERT000067,TXN0000434,ACCT000362,rapid_movement,medium,closed_false_positive,2025-06-03T18:41:00,Synthetic alert generated for rapid movement of funds.
ALERT000068,TXN0000435,ACCT000679,rapid_movement,high,open,2025-12-03T03:35:00,Synthetic alert generated for rapid movement of funds.
ALERT000069,TXN0000444,ACCT000655,shared_device,medium,escalated,2025-04-16T20:50:00,Synthetic alert generated for shared device behaviour.
ALERT000070,TXN0000446,ACCT000676,jurisdiction_risk,high,in_review,2025-06-21T23:53:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000071,TXN0000452,ACCT000502,structuring_indicator,high,in_review,2025-04-01T17:12:00,Synthetic alert generated for round number payments.
ALERT000072,TXN0000453,ACCT000366,jurisdiction_risk,high,in_review,2025-12-18T18:14:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000073,TXN0000468,ACCT000372,new_beneficiary,medium,closed_false_positive,2025-05-09T07:32:00,Synthetic alert generated for new beneficiary risk.
ALERT000074,TXN0000470,ACCT000605,amount_spike,medium,open,2025-07-28T06:53:00,Synthetic alert generated for unusual amount spike.
ALERT000075,TXN0000482,ACCT000676,shared_device,medium,open,2025-04-18T23:03:00,Synthetic alert generated for shared device behaviour.
ALERT000076,TXN0000489,ACCT000638,account_takeover,high,in_review,2025-03-02T23:01:00,Synthetic alert generated for account takeover style behaviour.
ALERT000077,TXN0000490,ACCT000428,structuring_indicator,medium,in_review,2025-03-01T19:27:00,Synthetic alert generated for round number payments.
ALERT000078,TXN0000492,ACCT000564,rapid_movement,medium,closed_false_positive,2025-03-09T12:46:00,Synthetic alert generated for rapid movement of funds.
ALERT000079,TXN0000494,ACCT000621,account_takeover,high,escalated,2025-01-28T15:26:00,Synthetic alert generated for account takeover style behaviour.
ALERT000080,TXN0000496,ACCT000315,account_takeover,high,in_review,2025-07-28T10:29:00,Synthetic alert generated for account takeover style behaviour.
ALERT000081,TXN0000499,ACCT000494,rapid_movement,medium,in_review,2025-04-04T11:53:00,Synthetic alert generated for rapid movement of funds.
ALERT000082,TXN0000509,ACCT000283,structuring_indicator,medium,in_review,2025-12-18T13:20:00,Synthetic alert generated for round number payments.
ALERT000083,TXN0000513,ACCT000112,jurisdiction_risk,high,open,2025-09-18T17:09:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000084,TXN0000516,ACCT000180,jurisdiction_risk,high,in_review,2025-04-29T19:03:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000085,TXN0000523,ACCT000186,structuring_indicator,medium,in_review,2025-07-14T09:27:00,Synthetic alert generated for round number payments.
ALERT000086,TXN0000531,ACCT000037,amount_spike,medium,in_review,2025-09-06T10:50:00,Synthetic alert generated for unusual amount spike.
ALERT000087,TXN0000547,ACCT000292,amount_spike,medium,closed_false_positive,2025-07-24T07:49:00,Synthetic alert generated for unusual amount spike.
ALERT000088,TXN0000548,ACCT000230,new_beneficiary,medium,open,2025-08-30T07:14:00,Synthetic alert generated for new beneficiary risk.
ALERT000089,TXN0000549,ACCT000434,shared_device,high,in_review,2025-09-23T08:49:00,Synthetic alert generated for shared device behaviour.
ALERT000090,TXN0000558,ACCT000160,mule_activity,medium,closed_false_positive,2025-12-06T10:24:00,Synthetic alert generated for mule account style behaviour.
ALERT000091,TXN0000563,ACCT000693,rapid_movement,medium,in_review,2025-07-08T10:04:00,Synthetic alert generated for rapid movement of funds.
ALERT000092,TXN0000564,ACCT000481,structuring_indicator,medium,open,2025-05-29T19:15:00,Synthetic alert generated for round number payments.
ALERT000093,TXN0000595,ACCT000488,jurisdiction_risk,high,in_review,2025-09-21T08:35:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000094,TXN0000598,ACCT000110,new_beneficiary,medium,closed_false_positive,2025-01-14T08:46:00,Synthetic alert generated for new beneficiary risk.
ALERT000095,TXN0000599,ACCT000643,account_takeover,high,open,2025-06-21T21:53:00,Synthetic alert generated for account takeover style behaviour.
ALERT000096,TXN0000604,ACCT000067,structuring_indicator,medium,in_review,2025-06-13T16:07:00,Synthetic alert generated for round number payments.
ALERT000097,TXN0000606,ACCT000468,velocity_rule,medium,in_review,2025-01-06T07:44:00,Synthetic alert generated for high transaction velocity.
ALERT000098,TXN0000613,ACCT000113,account_takeover,high,open,2025-08-29T15:49:00,Synthetic alert generated for account takeover style behaviour.
ALERT000099,TXN0000621,ACCT000067,rapid_movement,medium,in_review,2025-11-14T00:05:00,Synthetic alert generated for rapid movement of funds.
ALERT000100,TXN0000623,ACCT000516,jurisdiction_risk,high,in_review,2025-06-23T15:34:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000101,TXN0000627,ACCT000526,rapid_movement,high,in_review,2025-06-15T03:10:00,Synthetic alert generated for rapid movement of funds.
ALERT000102,TXN0000631,ACCT000095,amount_spike,medium,closed_false_positive,2025-04-11T05:44:00,Synthetic alert generated for unusual amount spike.
ALERT000103,TXN0000638,ACCT000311,amount_spike,medium,open,2025-01-26T08:43:00,Synthetic alert generated for unusual amount spike.
ALERT000104,TXN0000640,ACCT000469,account_takeover,high,open,2025-06-11T23:22:00,Synthetic alert generated for account takeover style behaviour.
ALERT000105,TXN0000646,ACCT000474,velocity_rule,medium,in_review,2025-05-20T23:16:00,Synthetic alert generated for high transaction velocity.
ALERT000106,TXN0000651,ACCT000345,new_beneficiary,medium,open,2025-06-23T19:08:00,Synthetic alert generated for new beneficiary risk.
ALERT000107,TXN0000653,ACCT000107,rapid_movement,medium,in_review,2025-04-02T01:01:00,Synthetic alert generated for rapid movement of funds.
ALERT000108,TXN0000666,ACCT000128,mule_activity,medium,in_review,2025-12-15T19:46:00,Synthetic alert generated for mule account style behaviour.
ALERT000109,TXN0000678,ACCT000336,amount_spike,medium,open,2025-03-16T12:54:00,Synthetic alert generated for unusual amount spike.
ALERT000110,TXN0000696,ACCT000034,new_beneficiary,high,escalated,2025-04-26T22:44:00,Synthetic alert generated for new beneficiary risk.
ALERT000111,TXN0000702,ACCT000098,account_takeover,high,in_review,2025-03-22T17:57:00,Synthetic alert generated for account takeover style behaviour.
ALERT000112,TXN0000703,ACCT000241,shared_device,medium,escalated,2025-05-06T22:20:00,Synthetic alert generated for shared device behaviour.
ALERT000113,TXN0000707,ACCT000519,rapid_movement,high,open,2025-11-04T01:14:00,Synthetic alert generated for rapid movement of funds.
ALERT000114,TXN0000721,ACCT000535,structuring_indicator,medium,escalated,2025-01-27T11:20:00,Synthetic alert generated for round number payments.
ALERT000115,TXN0000725,ACCT000212,velocity_rule,medium,in_review,2025-12-15T07:15:00,Synthetic alert generated for high transaction velocity.
ALERT000116,TXN0000730,ACCT000580,velocity_rule,high,escalated,2025-07-13T10:00:00,Synthetic alert generated for high transaction velocity.
ALERT000117,TXN0000734,ACCT000007,velocity_rule,medium,in_review,2025-08-04T01:18:00,Synthetic alert generated for high transaction velocity.
ALERT000118,TXN0000735,ACCT000025,account_takeover,high,escalated,2025-04-29T10:44:00,Synthetic alert generated for account takeover style behaviour.
ALERT000119,TXN0000746,ACCT000564,structuring_indicator,medium,open,2025-09-04T20:54:00,Synthetic alert generated for round number payments.
ALERT000120,TXN0000764,ACCT000013,account_takeover,high,in_review,2025-12-30T18:35:00,Synthetic alert generated for account takeover style behaviour.
ALERT000121,TXN0000769,ACCT000366,new_beneficiary,medium,open,2025-03-19T04:43:00,Synthetic alert generated for new beneficiary risk.
ALERT000122,TXN0000772,ACCT000279,shared_device,medium,in_review,2025-07-10T03:10:00,Synthetic alert generated for shared device behaviour.
ALERT000123,TXN0000773,ACCT000156,rapid_movement,high,in_review,2025-08-01T08:25:00,Synthetic alert generated for rapid movement of funds.
ALERT000124,TXN0000774,ACCT000659,account_takeover,high,closed_false_positive,2025-10-10T15:58:00,Synthetic alert generated for account takeover style behaviour.
ALERT000125,TXN0000785,ACCT000546,structuring_indicator,medium,in_review,2025-09-14T04:07:00,Synthetic alert generated for round number payments.
ALERT000126,TXN0000791,ACCT000108,structuring_indicator,medium,in_review,2025-08-21T17:50:00,Synthetic alert generated for round number payments.
ALERT000127,TXN0000809,ACCT000252,velocity_rule,medium,escalated,2025-10-10T15:26:00,Synthetic alert generated for high transaction velocity.
ALERT000128,TXN0000823,ACCT000575,account_takeover,high,escalated,2025-07-04T11:21:00,Synthetic alert generated for account takeover style behaviour.
ALERT000129,TXN0000826,ACCT000219,velocity_rule,medium,escalated,2025-07-11T11:32:00,Synthetic alert generated for high transaction velocity.
ALERT000130,TXN0000832,ACCT000065,structuring_indicator,medium,open,2025-06-26T11:24:00,Synthetic alert generated for round number payments.
ALERT000131,TXN0000837,ACCT000326,amount_spike,medium,escalated,2025-03-18T02:40:00,Synthetic alert generated for unusual amount spike.
ALERT000132,TXN0000838,ACCT000367,velocity_rule,medium,in_review,2025-02-16T00:17:00,Synthetic alert generated for high transaction velocity.
ALERT000133,TXN0000842,ACCT000261,shared_device,medium,closed_false_positive,2025-11-09T22:20:00,Synthetic alert generated for shared device behaviour.
ALERT000134,TXN0000846,ACCT000054,amount_spike,medium,in_review,2025-02-13T10:06:00,Synthetic alert generated for unusual amount spike.
ALERT000135,TXN0000848,ACCT000337,structuring_indicator,medium,in_review,2025-06-26T13:07:00,Synthetic alert generated for round number payments.
ALERT000136,TXN0000855,ACCT000584,account_takeover,high,open,2025-12-21T18:29:00,Synthetic alert generated for account takeover style behaviour.
ALERT000137,TXN0000856,ACCT000503,new_beneficiary,high,open,2025-07-29T01:56:00,Synthetic alert generated for new beneficiary risk.
ALERT000138,TXN0000867,ACCT000683,structuring_indicator,medium,in_review,2025-08-27T17:11:00,Synthetic alert generated for round number payments.
ALERT000139,TXN0000869,ACCT000381,structuring_indicator,high,open,2025-12-21T12:17:00,Synthetic alert generated for round number payments.
ALERT000140,TXN0000875,ACCT000028,new_beneficiary,medium,in_review,2025-01-15T20:38:00,Synthetic alert generated for new beneficiary risk.
ALERT000141,TXN0000885,ACCT000407,amount_spike,medium,open,2025-11-10T23:07:00,Synthetic alert generated for unusual amount spike.
ALERT000142,TXN0000887,ACCT000246,account_takeover,high,open,2025-06-09T06:02:00,Synthetic alert generated for account takeover style behaviour.
ALERT000143,TXN0000891,ACCT000108,rapid_movement,medium,open,2025-10-24T03:31:00,Synthetic alert generated for rapid movement of funds.
ALERT000144,TXN0000894,ACCT000166,velocity_rule,medium,open,2025-02-10T02:51:00,Synthetic alert generated for high transaction velocity.
ALERT000145,TXN0000895,ACCT000598,shared_device,high,open,2025-12-22T00:21:00,Synthetic alert generated for shared device behaviour.
ALERT000146,TXN0000910,ACCT000332,shared_device,medium,closed_false_positive,2025-01-18T12:20:00,Synthetic alert generated for shared device behaviour.
ALERT000147,TXN0000913,ACCT000543,mule_activity,medium,in_review,2025-05-16T07:08:00,Synthetic alert generated for mule account style behaviour.
ALERT000148,TXN0000916,ACCT000248,jurisdiction_risk,high,open,2025-12-06T20:51:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000149,TXN0000917,ACCT000005,jurisdiction_risk,high,open,2025-11-07T17:17:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000150,TXN0000919,ACCT000039,mule_activity,high,closed_false_positive,2025-10-29T19:22:00,Synthetic alert generated for mule account style behaviour.
ALERT000151,TXN0000934,ACCT000393,new_beneficiary,high,open,2025-02-15T14:28:00,Synthetic alert generated for new beneficiary risk.
ALERT000152,TXN0000935,ACCT000452,shared_device,high,closed_false_positive,2025-07-17T15:41:00,Synthetic alert generated for shared device behaviour.
ALERT000153,TXN0000942,ACCT000224,structuring_indicator,medium,closed_false_positive,2025-04-08T15:12:00,Synthetic alert generated for round number payments.
ALERT000154,TXN0000959,ACCT000604,rapid_movement,high,open,2025-10-09T23:39:00,Synthetic alert generated for rapid movement of funds.
ALERT000155,TXN0000966,ACCT000352,rapid_movement,medium,escalated,2025-06-04T02:12:00,Synthetic alert generated for rapid movement of funds.
ALERT000156,TXN0000967,ACCT000475,shared_device,medium,in_review,2025-05-15T07:39:00,Synthetic alert generated for shared device behaviour.
ALERT000157,TXN0000986,ACCT000115,structuring_indicator,medium,closed_false_positive,2025-03-11T02:24:00,Synthetic alert generated for round number payments.
ALERT000158,TXN0000992,ACCT000596,structuring_indicator,medium,open,2025-06-16T04:02:00,Synthetic alert generated for round number payments.
ALERT000159,TXN0001000,ACCT000450,new_beneficiary,medium,in_review,2025-07-07T01:31:00,Synthetic alert generated for new beneficiary risk.
ALERT000160,TXN0001002,ACCT000351,jurisdiction_risk,high,in_review,2025-07-27T07:10:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000161,TXN0001003,ACCT000312,amount_spike,medium,open,2025-02-12T15:29:00,Synthetic alert generated for unusual amount spike.
ALERT000162,TXN0001004,ACCT000692,rapid_movement,medium,closed_false_positive,2025-02-27T17:25:00,Synthetic alert generated for rapid movement of funds.
ALERT000163,TXN0001005,ACCT000389,account_takeover,high,closed_false_positive,2025-07-14T13:21:00,Synthetic alert generated for account takeover style behaviour.
ALERT000164,TXN0001012,ACCT000405,velocity_rule,medium,in_review,2025-04-12T08:07:00,Synthetic alert generated for high transaction velocity.
ALERT000165,TXN0001025,ACCT000666,mule_activity,medium,closed_false_positive,2025-04-30T17:14:00,Synthetic alert generated for mule account style behaviour.
ALERT000166,TXN0001027,ACCT000311,jurisdiction_risk,high,open,2025-01-22T17:22:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000167,TXN0001030,ACCT000074,account_takeover,high,closed_false_positive,2025-04-27T13:47:00,Synthetic alert generated for account takeover style behaviour.
ALERT000168,TXN0001038,ACCT000485,rapid_movement,medium,open,2025-08-01T02:34:00,Synthetic alert generated for rapid movement of funds.
ALERT000169,TXN0001039,ACCT000571,structuring_indicator,high,escalated,2025-12-18T03:47:00,Synthetic alert generated for round number payments.
ALERT000170,TXN0001044,ACCT000235,amount_spike,medium,in_review,2025-12-15T21:40:00,Synthetic alert generated for unusual amount spike.
ALERT000171,TXN0001055,ACCT000347,account_takeover,high,closed_false_positive,2025-06-22T22:35:00,Synthetic alert generated for account takeover style behaviour.
ALERT000172,TXN0001061,ACCT000646,structuring_indicator,medium,open,2025-04-23T22:01:00,Synthetic alert generated for round number payments.
ALERT000173,TXN0001062,ACCT000426,mule_activity,high,open,2025-08-02T23:05:00,Synthetic alert generated for mule account style behaviour.
ALERT000174,TXN0001066,ACCT000290,amount_spike,medium,closed_false_positive,2025-07-29T03:06:00,Synthetic alert generated for unusual amount spike.
ALERT000175,TXN0001068,ACCT000291,new_beneficiary,medium,in_review,2025-11-21T00:57:00,Synthetic alert generated for new beneficiary risk.
ALERT000176,TXN0001069,ACCT000117,amount_spike,high,open,2025-04-07T20:22:00,Synthetic alert generated for unusual amount spike.
ALERT000177,TXN0001072,ACCT000025,shared_device,medium,in_review,2025-03-16T13:44:00,Synthetic alert generated for shared device behaviour.
ALERT000178,TXN0001078,ACCT000356,shared_device,medium,open,2025-07-12T00:29:00,Synthetic alert generated for shared device behaviour.
ALERT000179,TXN0001082,ACCT000429,structuring_indicator,medium,in_review,2025-09-02T08:36:00,Synthetic alert generated for round number payments.
ALERT000180,TXN0001086,ACCT000229,new_beneficiary,medium,closed_false_positive,2025-06-02T09:08:00,Synthetic alert generated for new beneficiary risk.
ALERT000181,TXN0001099,ACCT000219,structuring_indicator,medium,in_review,2025-08-10T10:44:00,Synthetic alert generated for round number payments.
ALERT000182,TXN0001102,ACCT000038,rapid_movement,medium,in_review,2025-10-01T13:35:00,Synthetic alert generated for rapid movement of funds.
ALERT000183,TXN0001106,ACCT000029,structuring_indicator,high,open,2025-10-18T05:14:00,Synthetic alert generated for round number payments.
ALERT000184,TXN0001107,ACCT000294,velocity_rule,medium,open,2025-09-15T13:02:00,Synthetic alert generated for high transaction velocity.
ALERT000185,TXN0001110,ACCT000324,amount_spike,medium,open,2025-04-04T19:02:00,Synthetic alert generated for unusual amount spike.
ALERT000186,TXN0001120,ACCT000076,structuring_indicator,medium,closed_false_positive,2025-12-20T06:42:00,Synthetic alert generated for round number payments.
ALERT000187,TXN0001121,ACCT000611,amount_spike,medium,open,2025-08-19T23:05:00,Synthetic alert generated for unusual amount spike.
ALERT000188,TXN0001123,ACCT000684,jurisdiction_risk,high,closed_false_positive,2025-11-16T17:27:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000189,TXN0001124,ACCT000323,shared_device,medium,in_review,2025-01-04T03:49:00,Synthetic alert generated for shared device behaviour.
ALERT000190,TXN0001130,ACCT000440,mule_activity,medium,escalated,2025-02-22T09:09:00,Synthetic alert generated for mule account style behaviour.
ALERT000191,TXN0001132,ACCT000647,jurisdiction_risk,high,open,2025-03-23T21:39:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000192,TXN0001135,ACCT000133,amount_spike,high,closed_false_positive,2025-11-02T11:34:00,Synthetic alert generated for unusual amount spike.
ALERT000193,TXN0001149,ACCT000591,shared_device,medium,closed_false_positive,2025-01-27T13:46:00,Synthetic alert generated for shared device behaviour.
ALERT000194,TXN0001150,ACCT000044,account_takeover,high,in_review,2025-05-25T23:52:00,Synthetic alert generated for account takeover style behaviour.
ALERT000195,TXN0001156,ACCT000211,new_beneficiary,high,escalated,2025-11-30T20:47:00,Synthetic alert generated for new beneficiary risk.
ALERT000196,TXN0001158,ACCT000418,rapid_movement,medium,open,2025-11-12T05:28:00,Synthetic alert generated for rapid movement of funds.
ALERT000197,TXN0001166,ACCT000322,mule_activity,high,open,2025-12-22T05:40:00,Synthetic alert generated for mule account style behaviour.
ALERT000198,TXN0001168,ACCT000374,mule_activity,medium,escalated,2025-09-16T18:14:00,Synthetic alert generated for mule account style behaviour.
ALERT000199,TXN0001176,ACCT000495,amount_spike,high,open,2025-09-03T04:12:00,Synthetic alert generated for unusual amount spike.
ALERT000200,TXN0001183,ACCT000292,account_takeover,high,open,2025-02-10T17:55:00,Synthetic alert generated for account takeover style behaviour.
ALERT000201,TXN0001184,ACCT000319,structuring_indicator,high,in_review,2025-11-24T02:01:00,Synthetic alert generated for round number payments.
ALERT000202,TXN0001186,ACCT000492,amount_spike,medium,escalated,2025-07-27T04:26:00,Synthetic alert generated for unusual amount spike.
ALERT000203,TXN0001190,ACCT000610,jurisdiction_risk,high,closed_false_positive,2025-09-02T13:13:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000204,TXN0001195,ACCT000194,mule_activity,medium,open,2025-01-25T02:42:00,Synthetic alert generated for mule account style behaviour.
ALERT000205,TXN0001198,ACCT000105,velocity_rule,medium,in_review,2025-06-02T10:43:00,Synthetic alert generated for high transaction velocity.
ALERT000206,TXN0001200,ACCT000685,amount_spike,medium,in_review,2025-05-15T23:02:00,Synthetic alert generated for unusual amount spike.
