transaction_id,account_id,customer_id,is_suspicious,suspicious_pattern,anomaly_score,is_anomaly,anomaly_rank,anomaly_band,top_anomaly_reasons
TXN0002084,ACCT000601,CUST000104,True,round_number_payments,89.3272,True,24,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004009,ACCT000378,CUST000123,True,rapid_movement_of_funds,88.9866,True,25,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001481,ACCT000640,CUST000225,True,round_number_payments,88.7949,True,26,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004428,ACCT000183,CUST000191,True,rapid_movement_of_funds,88.3634,True,27,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001964,ACCT000372,CUST000236,True,round_number_payments,88.3005,True,28,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003048,ACCT000254,CUST000138,True,rapid_movement_of_funds,88.1325,True,29,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0002128,ACCT000564,CUST000033,True,round_number_payments,88.0129,True,30,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003598,ACCT000454,CUST000327,True,rapid_movement_of_funds,87.9482,True,31,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002905,ACCT000612,CUST000248,True,rapid_movement_of_funds,87.9143,True,32,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001547,ACCT000137,CUST000128,True,round_number_payments,87.6402,True,33,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002341,ACCT000569,CUST000075,True,round_number_payments,87.1279,True,34,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002594,ACCT000272,CUST000111,True,round_number_payments,86.9245,True,35,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000707,ACCT000519,CUST000380,True,rapid_movement_of_funds,86.9178,True,36,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000785,ACCT000546,CUST000238,True,round_number_payments,86.861,True,37,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002399,ACCT000264,CUST000047,True,rapid_movement_of_funds,86.7832,True,38,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000135,ACCT000066,CUST000319,True,round_number_payments,86.7568,True,39,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001367,ACCT000652,CUST000454,True,rapid_movement_of_funds,86.6939,True,40,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001120,ACCT000076,CUST000270,True,round_number_payments,86.6665,True,41,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002530,ACCT000228,CUST000053,True,rapid_movement_of_funds,86.3565,True,42,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000895,ACCT000598,CUST000460,True,shared_device_behaviour,85.7641,True,43,Critical,HIGH_RISK_JURISDICTION; ACCOUNT_TAKEOVER_SIGNAL
TXN0003740,ACCT000625,CUST000070,True,rapid_movement_of_funds,85.7144,True,44,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001184,ACCT000319,CUST000197,True,round_number_payments,85.6958,True,45,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003228,ACCT000665,CUST000125,True,round_number_payments,85.6695,True,46,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003308,ACCT000495,CUST000067,True,rapid_movement_of_funds,85.6226,True,47,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001552,ACCT000048,CUST000025,True,round_number_payments,85.3704,True,48,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003799,ACCT000645,CUST000035,True,rapid_movement_of_funds,85.2698,True,49,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003354,ACCT000458,CUST000359,True,round_number_payments,85.2561,True,50,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001850,ACCT000033,CUST000253,True,rapid_movement_of_funds,85.2284,True,51,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004507,ACCT000023,CUST000376,True,rapid_movement_of_funds,85.2094,True,52,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004048,ACCT000450,CUST000253,True,rapid_movement_of_funds,85.1828,True,53,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001061,ACCT000646,CUST000408,True,round_number_payments,85.1013,True,54,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004650,ACCT000654,CUST000169,True,round_number_payments,84.9116,True,55,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002015,ACCT000073,CUST000120,True,rapid_movement_of_funds,84.8416,True,56,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003930,ACCT000321,CUST000307,True,rapid_movement_of_funds,84.7898,True,57,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001804,ACCT000548,CUST000286,True,rapid_movement_of_funds,84.6778,True,58,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001214,ACCT000474,CUST000031,True,round_number_payments,84.654,True,59,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000310,ACCT000647,CUST000270,True,rapid_movement_of_funds,84.4659,True,60,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000832,ACCT000065,CUST000047,True,round_number_payments,84.377,True,61,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001755,ACCT000117,CUST000399,True,round_number_payments,84.1057,True,62,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002718,ACCT000084,CUST000038,True,round_number_payments,84.0995,True,63,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004298,ACCT000184,CUST000217,True,rapid_movement_of_funds,84.0699,True,64,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000564,ACCT000481,CUST000303,True,round_number_payments,83.856,True,65,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001099,ACCT000219,CUST000004,True,round_number_payments,83.8366,True,66,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004114,ACCT000027,CUST000294,True,unusual_amount_spike,83.7723,True,67,High,HIGH_VALUE_TRANSACTION; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0004443,ACCT000525,CUST000245,True,rapid_movement_of_funds,83.4772,True,68,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003427,ACCT000102,CUST000500,True,round_number_payments,83.4548,True,69,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN
TXN0004515,ACCT000141,CUST000377,True,rapid_movement_of_funds,83.4347,True,70,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0004563,ACCT000285,CUST000285,True,round_number_payments,83.419,True,71,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000223,ACCT000282,CUST000074,True,rapid_movement_of_funds,83.3764,True,72,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003750,ACCT000216,CUST000216,True,rapid_movement_of_funds,83.3399,True,73,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000992,ACCT000596,CUST000322,True,round_number_payments,83.2319,True,74,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN
TXN0003155,ACCT000389,CUST000332,True,rapid_movement_of_funds,83.155,True,75,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000509,ACCT000283,CUST000442,True,round_number_payments,82.9844,True,76,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000604,ACCT000067,CUST000111,True,round_number_payments,82.9287,True,77,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004946,ACCT000626,CUST000123,True,rapid_movement_of_funds,82.8115,True,78,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003572,ACCT000231,CUST000418,True,rapid_movement_of_funds,82.7874,True,79,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003777,ACCT000093,CUST000264,True,round_number_payments,82.7788,True,80,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003755,ACCT000025,CUST000307,True,rapid_movement_of_funds,82.7688,True,81,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000942,ACCT000224,CUST000263,True,round_number_payments,82.7502,True,82,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001537,ACCT000113,CUST000320,True,rapid_movement_of_funds,82.6162,True,83,High,HIGH_VALUE_TRANSACTION; NEW_BENEFICIARY_HIGH_VALUE; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002853,ACCT000334,CUST000123,True,round_number_payments,82.5282,True,84,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000746,ACCT000564,CUST000033,True,round_number_payments,82.5233,True,85,High,ROUND_AMOUNT_PATTERN
TXN0003193,ACCT000003,CUST000018,True,rapid_movement_of_funds,82.4422,True,86,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003852,ACCT000088,CUST000495,True,round_number_payments,82.3435,True,87,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001725,ACCT000036,CUST000338,True,round_number_payments,82.3406,True,88,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN
TXN0003324,ACCT000247,CUST000217,True,rapid_movement_of_funds,82.3252,True,89,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002826,ACCT000473,CUST000249,True,round_number_payments,82.0928,True,90,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001236,ACCT000357,CUST000238,True,round_number_payments,81.8648,True,91,High,ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL
TXN0002503,ACCT000414,CUST000079,True,rapid_movement_of_funds,81.8425,True,92,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001158,ACCT000418,CUST000124,True,rapid_movement_of_funds,81.8177,True,93,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004132,ACCT000618,CUST000108,True,round_number_payments,81.7905,True,94,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000867,ACCT000683,CUST000085,True,round_number_payments,81.7368,True,95,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004777,ACCT000430,CUST000129,True,round_number_payments,81.5255,True,96,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000255,ACCT000437,CUST000080,True,round_number_payments,81.4971,True,97,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002617,ACCT000200,CUST000189,True,round_number_payments,81.4274,True,98,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004148,ACCT000543,CUST000176,True,round_number_payments,81.3889,True,99,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003394,ACCT000319,CUST000197,True,round_number_payments,81.1335,True,100,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003599,ACCT000600,CUST000125,True,rapid_movement_of_funds,81.0385,True,101,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000434,ACCT000362,CUST000298,True,rapid_movement_of_funds,80.9194,True,102,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0003653,ACCT000317,CUST000204,True,rapid_movement_of_funds,80.8908,True,103,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001998,ACCT000117,CUST000399,True,rapid_movement_of_funds,80.6296,True,104,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003902,ACCT000639,CUST000033,True,rapid_movement_of_funds,80.5613,True,105,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000959,ACCT000604,CUST000049,True,rapid_movement_of_funds,80.4775,True,106,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0004341,ACCT000499,CUST000377,True,round_number_payments,80.3771,True,107,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000627,ACCT000526,CUST000382,True,rapid_movement_of_funds,80.0979,True,108,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002838,ACCT000690,CUST000233,True,rapid_movement_of_funds,80.0952,True,109,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003190,ACCT000051,CUST000302,True,rapid_movement_of_funds,80.0622,True,110,High,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004905,ACCT000352,CUST000295,True,round_number_payments,79.968,True,111,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001521,ACCT000209,CUST000269,True,rapid_movement_of_funds,79.885,True,112,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0000721,ACCT000535,CUST000125,True,round_number_payments,79.3215,True,113,High,ROUND_AMOUNT_PATTERN
TXN0001618,ACCT000065,CUST000047,True,rapid_movement_of_funds,79.1207,True,114,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003462,ACCT000127,CUST000210,True,rapid_movement_of_funds,79.1069,True,115,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0000173,ACCT000052,CUST000178,True,round_number_payments,78.8286,True,116,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0004388,ACCT000134,CUST000142,True,rapid_movement_of_funds,78.7949,True,117,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000079,ACCT000662,CUST000111,True,rapid_movement_of_funds,78.7132,True,118,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002365,ACCT000418,CUST000124,True,rapid_movement_of_funds,78.5577,True,119,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0004432,ACCT000124,CUST000437,True,round_number_payments,78.5211,True,120,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN
TXN0004879,ACCT000269,CUST000235,True,rapid_movement_of_funds,78.3113,True,121,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0001797,ACCT000286,CUST000309,True,round_number_payments,78.3023,True,122,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000381,ACCT000383,CUST000417,True,rapid_movement_of_funds,78.0285,True,123,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0004884,ACCT000219,CUST000004,True,round_number_payments,77.9843,True,124,High,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002953,ACCT000239,CUST000113,True,round_number_payments,77.7471,True,125,High,ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000986,ACCT000115,CUST000286,True,round_number_payments,77.6978,True,126,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003803,ACCT000323,CUST000437,True,rapid_movement_of_funds,77.3161,True,127,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000773,ACCT000156,CUST000110,True,rapid_movement_of_funds,77.1978,True,128,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004144,ACCT000083,CUST000355,True,round_number_payments,77.0606,True,129,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001273,ACCT000335,CUST000128,True,round_number_payments,76.9346,True,130,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003745,ACCT000243,CUST000446,True,round_number_payments,76.9011,True,131,High,ROUND_AMOUNT_PATTERN
TXN0004078,ACCT000351,CUST000085,True,round_number_payments,76.4254,True,132,High,ROUND_AMOUNT_PATTERN
TXN0004950,ACCT000434,CUST000161,True,round_number_payments,76.38,True,133,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000128,ACCT000146,CUST000028,True,rapid_movement_of_funds,75.8898,True,134,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002221,ACCT000228,CUST000053,True,rapid_movement_of_funds,75.6922,True,135,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001569,ACCT000655,CUST000004,True,rapid_movement_of_funds,75.5748,True,136,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0001495,ACCT000453,CUST000098,True,round_number_payments,75.5588,True,137,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000678,ACCT000336,CUST000428,True,unusual_amount_spike,75.412,True,138,High,HIGH_VALUE_TRANSACTION; CROSS_BORDER_TRANSACTION
TXN0001565,ACCT000690,CUST000233,True,round_number_payments,75.2738,True,139,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001038,ACCT000485,CUST000071,True,rapid_movement_of_funds,75.2169,True,140,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0002086,ACCT000445,CUST000127,True,rapid_movement_of_funds,75.0869,True,141,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0000848,ACCT000337,CUST000439,True,round_number_payments,74.9903,True,142,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003325,ACCT000604,CUST000049,True,rapid_movement_of_funds,74.9595,True,143,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0000435,ACCT000679,CUST000400,True,rapid_movement_of_funds,74.8353,True,144,High,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003384,ACCT000181,CUST000096,True,round_number_payments,74.3197,True,145,High,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002366,ACCT000316,CUST000029,True,round_number_payments,74.2949,True,146,High,ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
