transaction_id,account_id,customer_id,aml_risk_score,aml_risk_band,aml_risk_reasons
TXN0000162,ACCT000075,CUST000357,0,Info,No material AML indicators
TXN0000163,ACCT000167,CUST000102,8,Info,Cross-border transaction
TXN0000164,ACCT000600,CUST000125,8,Info,Cross-border transaction
TXN0000165,ACCT000616,CUST000076,8,Info,Cross-border transaction
TXN0000166,ACCT000538,CUST000164,8,Info,Cross-border transaction
TXN0000167,ACCT000501,CUST000310,8,Info,Cross-border transaction
TXN0000168,ACCT000603,CUST000244,8,Info,Cross-border transaction
TXN0000169,ACCT000262,CUST000081,43,Medium,Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000170,ACCT000627,CUST000083,8,Info,Cross-border transaction
TXN0000171,ACCT000621,CUST000116,8,Info,Cross-border transaction
TXN0000172,ACCT000161,CUST000065,8,Info,Cross-border transaction
TXN0000173,ACCT000052,CUST000178,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000174,ACCT000365,CUST000457,8,Info,Cross-border transaction
TXN0000175,ACCT000531,CUST000439,0,Info,No material AML indicators
TXN0000176,ACCT000595,CUST000158,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000177,ACCT000100,CUST000386,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000178,ACCT000265,CUST000158,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000179,ACCT000538,CUST000164,8,Info,Cross-border transaction
TXN0000180,ACCT000043,CUST000150,8,Info,Cross-border transaction
TXN0000181,ACCT000507,CUST000141,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000182,ACCT000205,CUST000156,8,Info,Cross-border transaction
TXN0000183,ACCT000016,CUST000350,8,Info,Cross-border transaction
TXN0000184,ACCT000170,CUST000342,0,Info,No material AML indicators
TXN0000185,ACCT000520,CUST000376,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000186,ACCT000610,CUST000308,8,Info,Cross-border transaction
TXN0000187,ACCT000057,CUST000051,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000188,ACCT000325,CUST000259,8,Info,Cross-border transaction
TXN0000189,ACCT000141,CUST000377,8,Info,Cross-border transaction
TXN0000190,ACCT000479,CUST000103,0,Info,No material AML indicators
TXN0000191,ACCT000547,CUST000057,8,Info,Cross-border transaction
TXN0000192,ACCT000674,CUST000103,29,Low,New beneficiary high-value payment; Cross-border transaction; Synthetic suspicious helper label present
TXN0000193,ACCT000249,CUST000462,8,Info,Cross-border transaction
TXN0000194,ACCT000210,CUST000380,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000195,ACCT000217,CUST000100,8,Info,Cross-border transaction
TXN0000196,ACCT000533,CUST000385,8,Info,Cross-border transaction
TXN0000197,ACCT000312,CUST000325,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000198,ACCT000016,CUST000350,0,Info,No material AML indicators
TXN0000199,ACCT000664,CUST000057,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000200,ACCT000073,CUST000120,8,Info,Cross-border transaction
TXN0000201,ACCT000650,CUST000435,8,Info,Cross-border transaction
TXN0000202,ACCT000114,CUST000165,8,Info,Cross-border transaction
TXN0000203,ACCT000377,CUST000458,8,Info,Cross-border transaction
TXN0000204,ACCT000219,CUST000004,8,Info,Cross-border transaction
TXN0000205,ACCT000481,CUST000303,8,Info,Cross-border transaction
TXN0000206,ACCT000283,CUST000442,8,Info,Cross-border transaction
TXN0000207,ACCT000258,CUST000265,8,Info,Cross-border transaction
TXN0000208,ACCT000334,CUST000123,8,Info,Cross-border transaction
TXN0000209,ACCT000680,CUST000460,8,Info,Cross-border transaction
TXN0000210,ACCT000172,CUST000322,25,Low,Mule-account style activity; Synthetic suspicious helper label present
TXN0000211,ACCT000154,CUST000233,8,Info,Cross-border transaction
TXN0000212,ACCT000047,CUST000078,8,Info,Cross-border transaction
TXN0000213,ACCT000518,CUST000040,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000214,ACCT000475,CUST000482,8,Info,Cross-border transaction
TXN0000215,ACCT000427,CUST000372,0,Info,No material AML indicators
TXN0000216,ACCT000017,CUST000263,8,Info,Cross-border transaction
TXN0000217,ACCT000554,CUST000134,0,Info,No material AML indicators
TXN0000218,ACCT000567,CUST000192,55,Medium,High-risk jurisdiction exposure; Mule-account style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000219,ACCT000662,CUST000111,8,Info,Cross-border transaction
TXN0000220,ACCT000651,CUST000006,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000221,ACCT000185,CUST000272,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000222,ACCT000498,CUST000490,8,Info,Cross-border transaction
TXN0000223,ACCT000282,CUST000074,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000224,ACCT000418,CUST000124,8,Info,Cross-border transaction
TXN0000225,ACCT000233,CUST000422,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000226,ACCT000460,CUST000438,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000227,ACCT000667,CUST000152,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000228,ACCT000457,CUST000109,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000229,ACCT000645,CUST000035,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000230,ACCT000653,CUST000329,8,Info,Cross-border transaction
TXN0000231,ACCT000084,CUST000038,33,Low,Mule-account style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000232,ACCT000676,CUST000227,27,Low,High-risk jurisdiction exposure; Synthetic suspicious helper label present
TXN0000233,ACCT000573,CUST000359,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000234,ACCT000299,CUST000282,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000235,ACCT000421,CUST000074,8,Info,Cross-border transaction
TXN0000236,ACCT000432,CUST000272,8,Info,Cross-border transaction
TXN0000237,ACCT000551,CUST000208,8,Info,Cross-border transaction
TXN0000238,ACCT000562,CUST000395,8,Info,Cross-border transaction
TXN0000239,ACCT000072,CUST000346,8,Info,Cross-border transaction
TXN0000240,ACCT000001,CUST000473,8,Info,Cross-border transaction
TXN0000241,ACCT000173,CUST000477,8,Info,Cross-border transaction
TXN0000242,ACCT000369,CUST000463,8,Info,Cross-border transaction
TXN0000243,ACCT000595,CUST000158,8,Info,Cross-border transaction
TXN0000244,ACCT000458,CUST000359,0,Info,No material AML indicators
TXN0000245,ACCT000096,CUST000177,8,Info,Cross-border transaction
TXN0000246,ACCT000503,CUST000321,8,Info,Cross-border transaction
TXN0000247,ACCT000328,CUST000337,8,Info,Cross-border transaction
TXN0000248,ACCT000259,CUST000269,8,Info,Cross-border transaction
TXN0000249,ACCT000541,CUST000200,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000250,ACCT000207,CUST000206,8,Info,Cross-border transaction
TXN0000251,ACCT000434,CUST000161,0,Info,No material AML indicators
TXN0000252,ACCT000128,CUST000020,8,Info,Cross-border transaction
TXN0000253,ACCT000268,CUST000165,8,Info,Cross-border transaction
TXN0000254,ACCT000391,CUST000373,0,Info,No material AML indicators
TXN0000255,ACCT000437,CUST000080,53,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000256,ACCT000644,CUST000483,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000257,ACCT000204,CUST000216,8,Info,Cross-border transaction
TXN0000258,ACCT000628,CUST000442,22,Low,High-risk jurisdiction exposure
TXN0000259,ACCT000572,CUST000354,8,Info,Cross-border transaction
TXN0000260,ACCT000252,CUST000109,8,Info,Cross-border transaction
TXN0000261,ACCT000099,CUST000377,0,Info,No material AML indicators
TXN0000262,ACCT000181,CUST000096,0,Info,No material AML indicators
TXN0000263,ACCT000461,CUST000088,8,Info,Cross-border transaction
TXN0000264,ACCT000553,CUST000195,0,Info,No material AML indicators
TXN0000265,ACCT000429,CUST000057,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000266,ACCT000508,CUST000373,0,Info,No material AML indicators
TXN0000267,ACCT000072,CUST000346,8,Info,Cross-border transaction
TXN0000268,ACCT000354,CUST000343,0,Info,No material AML indicators
TXN0000269,ACCT000612,CUST000248,8,Info,Cross-border transaction
TXN0000270,ACCT000273,CUST000205,0,Info,No material AML indicators
TXN0000271,ACCT000630,CUST000187,0,Info,No material AML indicators
TXN0000272,ACCT000087,CUST000112,0,Info,No material AML indicators
TXN0000273,ACCT000686,CUST000426,8,Info,Cross-border transaction
TXN0000274,ACCT000550,CUST000158,8,Info,Cross-border transaction
TXN0000275,ACCT000439,CUST000497,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000276,ACCT000433,CUST000170,8,Info,Cross-border transaction
TXN0000277,ACCT000656,CUST000306,8,Info,Cross-border transaction
TXN0000278,ACCT000264,CUST000047,0,Info,No material AML indicators
TXN0000279,ACCT000116,CUST000366,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000280,ACCT000644,CUST000483,8,Info,Cross-border transaction
TXN0000281,ACCT000072,CUST000346,0,Info,No material AML indicators
TXN0000282,ACCT000462,CUST000307,8,Info,Cross-border transaction
TXN0000283,ACCT000187,CUST000380,8,Info,Cross-border transaction
TXN0000284,ACCT000651,CUST000006,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000285,ACCT000682,CUST000438,8,Info,Cross-border transaction
TXN0000286,ACCT000333,CUST000412,8,Info,Cross-border transaction
TXN0000287,ACCT000374,CUST000161,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000288,ACCT000319,CUST000197,8,Info,Cross-border transaction
TXN0000289,ACCT000298,CUST000312,8,Info,Cross-border transaction
TXN0000290,ACCT000657,CUST000044,8,Info,Cross-border transaction
TXN0000291,ACCT000201,CUST000312,0,Info,No material AML indicators
TXN0000292,ACCT000672,CUST000159,8,Info,Cross-border transaction
TXN0000293,ACCT000456,CUST000356,0,Info,No material AML indicators
TXN0000294,ACCT000673,CUST000465,22,Low,High-risk jurisdiction exposure
TXN0000295,ACCT000429,CUST000057,8,Info,Cross-border transaction
TXN0000296,ACCT000574,CUST000309,0,Info,No material AML indicators
TXN0000297,ACCT000343,CUST000278,8,Info,Cross-border transaction
TXN0000298,ACCT000324,CUST000075,0,Info,No material AML indicators
TXN0000299,ACCT000181,CUST000096,8,Info,Cross-border transaction
TXN0000300,ACCT000148,CUST000478,8,Info,Cross-border transaction
TXN0000301,ACCT000027,CUST000294,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000302,ACCT000269,CUST000235,8,Info,Cross-border transaction
TXN0000303,ACCT000692,CUST000024,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000304,ACCT000657,CUST000044,8,Info,Cross-border transaction
TXN0000305,ACCT000484,CUST000411,8,Info,Cross-border transaction
TXN0000306,ACCT000255,CUST000073,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000307,ACCT000365,CUST000457,8,Info,Cross-border transaction
TXN0000308,ACCT000530,CUST000140,8,Info,Cross-border transaction
TXN0000309,ACCT000002,CUST000113,25,Low,Mule-account style activity; Synthetic suspicious helper label present
TXN0000310,ACCT000647,CUST000270,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000311,ACCT000610,CUST000308,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000312,ACCT000680,CUST000460,8,Info,Cross-border transaction
TXN0000313,ACCT000067,CUST000111,8,Info,Cross-border transaction
TXN0000314,ACCT000664,CUST000057,51,Medium,High-risk jurisdiction exposure; New beneficiary high-value payment; Cross-border transaction; Synthetic suspicious helper label present
TXN0000315,ACCT000430,CUST000129,8,Info,Cross-border transaction
TXN0000316,ACCT000389,CUST000332,8,Info,Cross-border transaction
TXN0000317,ACCT000126,CUST000347,8,Info,Cross-border transaction
TXN0000318,ACCT000345,CUST000437,8,Info,Cross-border transaction
TXN0000319,ACCT000255,CUST000073,8,Info,Cross-border transaction
TXN0000320,ACCT000692,CUST000024,8,Info,Cross-border transaction
TXN0000321,ACCT000238,CUST000466,8,Info,Cross-border transaction
TXN0000322,ACCT000153,CUST000029,22,Low,High-risk jurisdiction exposure
TXN0000323,ACCT000663,CUST000113,8,Info,Cross-border transaction
TXN0000324,ACCT000132,CUST000280,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000325,ACCT000634,CUST000205,8,Info,Cross-border transaction
TXN0000326,ACCT000675,CUST000233,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000327,ACCT000216,CUST000216,8,Info,Cross-border transaction
TXN0000328,ACCT000483,CUST000465,8,Info,Cross-border transaction
TXN0000329,ACCT000558,CUST000302,8,Info,Cross-border transaction
TXN0000330,ACCT000376,CUST000043,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000331,ACCT000488,CUST000275,0,Info,No material AML indicators
TXN0000332,ACCT000093,CUST000264,0,Info,No material AML indicators
TXN0000333,ACCT000362,CUST000298,8,Info,Cross-border transaction
TXN0000334,ACCT000360,CUST000349,8,Info,Cross-border transaction
TXN0000335,ACCT000397,CUST000011,29,Low,New beneficiary high-value payment; Cross-border transaction; Synthetic suspicious helper label present
TXN0000336,ACCT000661,CUST000120,8,Info,Cross-border transaction
TXN0000337,ACCT000578,CUST000093,8,Info,Cross-border transaction
TXN0000338,ACCT000423,CUST000328,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000339,ACCT000283,CUST000442,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000340,ACCT000284,CUST000491,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000341,ACCT000015,CUST000255,8,Info,Cross-border transaction
TXN0000342,ACCT000386,CUST000408,8,Info,Cross-border transaction
TXN0000343,ACCT000177,CUST000262,8,Info,Cross-border transaction
TXN0000344,ACCT000621,CUST000116,8,Info,Cross-border transaction
TXN0000345,ACCT000542,CUST000197,8,Info,Cross-border transaction
TXN0000346,ACCT000639,CUST000033,8,Info,Cross-border transaction
TXN0000347,ACCT000698,CUST000129,8,Info,Cross-border transaction
TXN0000348,ACCT000281,CUST000097,29,Low,New beneficiary high-value payment; Cross-border transaction; Synthetic suspicious helper label present
TXN0000349,ACCT000300,CUST000211,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000350,ACCT000426,CUST000051,0,Info,No material AML indicators
